rung,fold,seed,source,n_rows,n_positive,positive_prevalence,mean_predicted_proba,std_predicted_proba
frozen_probe,2,42,notinject,339,0,0.0,0.5634886337592538,0.16249310216747345
frozen_probe,2,42,xstest,450,200,0.4444444444444444,0.3974231341150072,0.1176837538299261
frozen_probe,2,43,bipia,50,50,1.0,0.44052484810352327,0.10592532449912119
frozen_probe,2,43,injecagent,62,62,1.0,0.38075853932288384,0.15122193584885668
frozen_probe,2,43,jbb_behaviors,200,100,0.5,0.3254132100567222,0.14231506183308162
frozen_probe,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.49011707305908203,0.19454260170459747
frozen_probe,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.49560898542404175,0.19668711721897125
frozen_probe,2,43,notinject,339,0,0.0,0.41111652043189273,0.19883261781877715
frozen_probe,2,43,xstest,450,200,0.4444444444444444,0.29148910603589484,0.12125767935445868
frozen_probe,2,44,bipia,50,50,1.0,0.5161707156896591,0.1293562351542778
frozen_probe,2,44,injecagent,62,62,1.0,0.40655160166563525,0.14798770878615147
frozen_probe,2,44,jbb_behaviors,200,100,0.5,0.2896164305321872,0.11942636120267011
frozen_probe,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.4965513348579407,0.1895265430212021
frozen_probe,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.49905237555503845,0.19319719076156616
frozen_probe,2,44,notinject,339,0,0.0,0.422066628185697,0.19294123480804387
frozen_probe,2,44,xstest,450,200,0.4444444444444444,0.35979560991128284,0.11514163221498891
frozen_probe,3,42,bipia,50,50,1.0,0.4470256718993187,0.08227865390910687
frozen_probe,3,42,hackaprompt,1650,1650,1.0,0.6133612990379333,0.17231516540050507
frozen_probe,3,42,hackaprompt,1650,1650,1.0,0.6211891770362854,0.17275972664356232
frozen_probe,3,42,injecagent,62,62,1.0,0.4102398075403706,0.12729913019152936
frozen_probe,3,42,jbb_behaviors,200,100,0.5,0.3715393889322877,0.1352263400248419
frozen_probe,3,42,notinject,339,0,0.0,0.4449648385466376,0.18474545373454393
frozen_probe,3,42,xstest,450,200,0.4444444444444444,0.5060863499343395,0.15798120569956858
frozen_probe,3,43,bipia,50,50,1.0,0.29675184160470963,0.07823678790316184
frozen_probe,3,43,hackaprompt,1650,1650,1.0,0.6451630592346191,0.15865060687065125
frozen_probe,3,43,hackaprompt,1650,1650,1.0,0.6476833820343018,0.160836324095726
frozen_probe,3,43,injecagent,62,62,1.0,0.4535126174169202,0.12997143098613773
frozen_probe,3,43,jbb_behaviors,200,100,0.5,0.4541022066399455,0.162207243815299
frozen_probe,3,43,notinject,339,0,0.0,0.4475292775307433,0.17418940446501388
frozen_probe,3,43,xstest,450,200,0.4444444444444444,0.44115076859792074,0.13494036858116173
frozen_probe,3,44,bipia,50,50,1.0,0.3344891899824142,0.10277953401622794
frozen_probe,3,44,hackaprompt,1650,1650,1.0,0.5630067586898804,0.21397197246551514
