rung,fold,seed,slice_name,n_rows,n_positive,n_negative,auprc,auroc,recall_at_fpr_0_1,recall_at_fpr_1,recall_at_fpr_5,ece_equal_mass,brier
frozen_probe,2,42,jbb_behaviors,200,100,100,0.489545643952286,0.4746,,0.0,0.04,0.19318652175366882,0.2859540753084486
frozen_probe,2,42,xstest,450,200,250,0.41229444572691243,0.47661,,0.005,0.015,0.15195714553197226,0.2692521265922279
frozen_probe,2,42,pooled_ood,1101,412,689,0.33960370652294425,0.4487807713444277,,0.0048543689320388345,0.024271844660194174,0.20521649293310523,0.2851384277989412
frozen_probe,2,43,jbb_behaviors,200,100,100,0.6099124625564875,0.5908500000000001,,0.09,0.1,0.19393936339765788,0.2750642004362668
frozen_probe,2,43,xstest,450,200,250,0.45163021648702373,0.53561,,0.005,0.02,0.17755508500668737,0.27965278441140573
frozen_probe,2,43,pooled_ood,1101,412,689,0.3497714523101657,0.5038574266912791,,0.0,0.021844660194174758,0.16468163208188408,0.2660848517109391
frozen_probe,2,44,jbb_behaviors,200,100,100,0.5189723392676011,0.48889999999999995,,0.02,0.07,0.2254776050336659,0.30833459268980656
frozen_probe,2,44,xstest,450,200,250,0.4403588166996798,0.48988,,0.005,0.06,0.13586396012041302,0.2683984812054141
frozen_probe,2,44,pooled_ood,1101,412,689,0.3486537490914488,0.4851902997167698,0.0024271844660194173,0.0024271844660194173,0.01699029126213592,0.1512698911495852,0.2644775055541843
frozen_probe,3,42,jbb_behaviors,200,100,100,0.5728109531132605,0.5754999999999999,,0.02,0.1,0.1890808686241508,0.26763759746330007
frozen_probe,3,42,xstest,450,200,250,0.483798283141907,0.5571699999999999,,0.005,0.04,0.11458432854877577,0.26090289803829975
frozen_probe,3,42,pooled_ood,1101,412,689,0.37646610293309896,0.5300298025842998,,0.0024271844660194173,0.0412621359223301,0.125935161010879,0.2614177587748234
frozen_probe,3,43,jbb_behaviors,200,100,100,0.6009018573673794,0.5929,,0.05,0.09,0.1328520183637738,0.25068071286608534
frozen_probe,3,43,xstest,450,200,250,0.4785107223633392,0.5602,,0.015,0.04,0.10418001638518438,0.2503180939767732
frozen_probe,3,43,pooled_ood,1101,412,689,0.3711791590273298,0.5128193385658123,,0.0048543689320388345,0.03640776699029126,0.1360631650017674,0.2593628063550375
frozen_probe,3,44,jbb_behaviors,200,100,100,0.5404279879380585,0.52645,,0.01,0.08,0.14767919614911085,0.2725361621892312
frozen_probe,3,44,xstest,450,200,250,0.47032670650353614,0.5257000000000001,,0.01,0.07,0.11386338137918048,0.2582974826809537
frozen_probe,3,44,pooled_ood,1101,412,689,0.37642407884602663,0.5143323657474601,,0.007281553398058253,0.02669902912621359,0.13215219110358745,0.25733209622157427
lora,0,42,jbb_behaviors,200,100,100,0.5565289679142664,0.5516000000000001,,0.02,0.11,0.4669918578300122,0.4793599079789398
lora,0,42,xstest,450,200,250,0.5190813279111901,0.58473,,0.01,0.11,0.40629046351633913,0.4180720915376953
lora,0,42,pooled_ood,1101,412,689,0.3078944974459599,0.42090337762622054,,0.0,0.0,0.45578615680188783,0.46414489141115656
lora,0,43,jbb_behaviors,200,100,100,0.5517245884211575,0.5199,,0.04,0.11,0.4648794531318265,0.4718623934069937
lora,0,43,xstest,450,200,250,0.46330317862462367,0.5185,,0.015,0.065,0.4168077223228263,0.42697026448366304
lora,0,43,pooled_ood,1101,412,689,0.28771677622390174,0.36555899220764576,,0.0,0.0,0.44677260423931275,0.45339778268777275
lora,0,44,jbb_behaviors,200,100,100,0.5302124434595719,0.5253500000000001,,0.02,0.05,0.47342436619055484,0.4860515844679902
lora,0,44,xstest,450,200,250,0.46513963480138243,0.51446,,0.02,0.07,0.41153813948625007,0.4224323652446618
lora,0,44,pooled_ood,1101,412,689,0.28950520279541464,0.3706300111319345,,0.0,0.0024271844660194173,0.4364121068121155,0.43328035086905947
lora,1,42,jbb_behaviors,200,100,100,0.5108558318568447,0.48545000000000005,,0.03,0.08,0.46471722963484186,0.4767518551277148
lora,1,42,xstest,450,200,250,0.47548846172333575,0.55057,,0.015,0.055,0.40673461317208826,0.4215295403092675
lora,1,42,pooled_ood,1101,412,689,0.2871073652669944,0.3588886383812194,,0.0,0.0,0.44535914024292955,0.452040587253776
lora,1,43,jbb_behaviors,200,100,100,0.5512357046442022,0.532,,0.04,0.13,0.4475766038456323,0.4587588247473985
lora,1,43,xstest,450,200,250,0.4525085274596993,0.52318,,0.01,0.055,0.39784629933491183,0.415457588517039
lora,1,43,pooled_ood,1101,412,689,0.29176042861197093,0.3774553665788324,,0.0,0.0,0.4471136876223123,0.4574925100201006
lora,1,44,jbb_behaviors,200,100,100,0.5283354356280107,0.52005,,0.03,0.05,0.47701343651364064,0.48747901428284107
lora,1,44,xstest,450,200,250,0.5202189540568882,0.5805899999999999,,0.03,0.1,0.40402578412227735,0.40977898263699725
lora,1,44,pooled_ood,1101,412,689,0.2901366506513103,0.3697669339270365,,0.0,0.0024271844660194173,0.44527639186016843,0.4478963065442836
lora,2,42,jbb_behaviors,200,100,100,0.5683234172298028,0.5523500000000001,,0.02,0.09,0.49976420079319583,0.49971123413635754
lora,2,42,xstest,450,200,250,0.419548917059137,0.48939999999999995,,0.0,0.03,0.44301976173530183,0.44376050408576817
lora,2,42,pooled_ood,1101,412,689,0.2952856885821439,0.38779467921710087,,0.0,0.0,0.4475250433176635,0.43867438862717945
lora,2,43,jbb_behaviors,200,100,100,0.5155967769022025,0.51075,,0.0,0.05,0.4991539314756201,0.4991782489281145
